# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
2.610784e-01  -1.000000e+00  8.263361e-01  8.029422e-02  9.336968e-02  1.704927e-01  4.992591e-01  3.302482e-01  3.171237e-03  4.204466e-01  5.763821e-01
2.633454e-01  -1.000000e+00  8.743707e-01  2.624912e-02  9.938017e-02  1.157155e-01  1.242615e-01  7.600231e-01  9.913811e-03  8.494894e-01  1.405968e-01
2.656320e-01  -1.000000e+00  9.150171e-01  2.234401e-02  6.263892e-02  4.572014e-02  6.761163e-02  8.866682e-01  3.926279e-02  9.100444e-01  5.069285e-02
2.679385e-01  -1.000000e+00  9.053220e-01  7.608631e-02  1.859168e-02  3.384893e-02  4.279187e-01  5.382324e-01  6.082907e-02  4.959950e-01  4.431759e-01
2.702650e-01  -1.000000e+00  8.531462e-01  1.293972e-01  1.745662e-02  9.806936e-02  8.223074e-01  7.962320e-02  4.878446e-02  4.829536e-02  9.029202e-01
2.726117e-01  -1.000000e+00  8.210344e-01  1.156719e-01  6.329371e-02  1.638845e-01  7.560215e-01  8.009399e-02  1.508103e-02  1.283067e-01  8.566123e-01
2.749787e-01  -1.000000e+00  8.553687e-01  4.689057e-02  9.774069e-02  1.433472e-01  2.780413e-01  5.786115e-01  1.284034e-03  6.750681e-01  3.236478e-01
2.773664e-01  -1.000000e+00  9.159582e-01  1.340133e-02  7.064050e-02  5.807971e-02  3.767255e-02  9.042477e-01  2.596213e-02  9.489261e-01  2.511175e-02
2.797747e-01  -1.000000e+00  9.173901e-01  6.465488e-02  1.795503e-02  2.918096e-02  4.171346e-01  5.536845e-01  5.342894e-02  5.182105e-01  4.283605e-01
2.822040e-01  -1.000000e+00  8.554722e-01  1.240817e-01  2.044613e-02  1.038371e-01  8.573858e-01  3.877716e-02  4.069076e-02  1.853253e-02  9.407767e-01
2.846544e-01  -1.000000e+00  8.302891e-01  9.378118e-02  7.592974e-02  1.633214e-01  6.260576e-01  2.106210e-01  6.389537e-03  2.801612e-01  7.134493e-01
2.871260e-01  -1.000000e+00  8.903145e-01  2.016514e-02  8.952036e-02  1.027619e-01  8.934598e-02  8.078921e-01  6.923588e-03  8.904889e-01  1.025875e-01
2.896192e-01  -1.000000e+00  9.347014e-01  3.142283e-02  3.387577e-02  2.492459e-02  2.179725e-01  7.571029e-01  4.037400e-02  7.506047e-01  2.090213e-01
2.921339e-01  -1.000000e+00  8.814362e-01  1.072925e-01  1.127127e-02  7.459866e-02  8.011735e-01  1.242278e-01  4.396515e-02  9.153393e-02  8.645009e-01
2.946705e-01  -1.000000e+00  8.333120e-01  9.999612e-02  6.669192e-02  1.569734e-01  6.952794e-01  1.477472e-01  9.714653e-03  2.047244e-01  7.855609e-01
2.972291e-01  -1.000000e+00  8.921317e-01  2.047550e-02  8.739279e-02  1.028158e-01  9.112014e-02  8.060641e-01  5.052508e-03  8.884044e-01  1.065431e-01
2.998100e-01  -1.000000e+00  9.402651e-01  3.247252e-02  2.726238e-02  2.176499e-02  2.745243e-01  7.037107e-01  3.796991e-02  6.930032e-01  2.690269e-01
3.024132e-01  -1.000000e+00  8.740528e-01  1.091881e-01  1.675913e-02  9.000148e-02  8.658817e-01  4.411679e-02  3.594576e-02  2.493017e-02  9.391241e-01
3.050391e-01  -1.000000e+00  8.435825e-01  7.640237e-02  8.001511e-02  1.533929e-01  5.116956e-01  3.349115e-01  3.024629e-03  4.119020e-01  5.850734e-01
3.076877e-01  -1.000000e+00  9.250337e-01  7.408326e-03  6.755798e-02  6.082893e-02  3.104252e-02  9.081285e-01  1.413737e-02  9.615492e-01  2.431348e-02
3.103593e-01  -1.000000e+00  9.266705e-01  6.552396e-02  7.805500e-03  3.291164e-02  6.064647e-01  3.606236e-01  4.041783e-02  3.280113e-01  6.315709e-01
3.130542e-01  -1.000000e+00  8.453964e-01  1.050967e-01  4.950695e-02  1.383006e-01  8.053329e-01  5.636649e-02  1.630300e-02  8.957044e-02  8.941266e-01
3.157724e-01  -1.000000e+00  8.919570e-01  2.329390e-02  8.474911e-02  1.052961e-01  1.025422e-01  7.921617e-01  2.746874e-03  8.741639e-01  1.230892e-01
3.185143e-01  -1.000000e+00  9.489697e-01  3.202784e-02  1.900251e-02  1.828999e-02  3.651087e-01  6.166013e-01  3.274036e-02  6.028634e-01  3.643962e-01
3.212799e-01  -1.000000e+00  8.649818e-01  1.050303e-01  2.998788e-02  1.107099e-01  8.887765e-01  5.136656e-04  2.430835e-02  6.193198e-03  9.694985e-01
3.240696e-01  -1.000000e+00  8.747883e-01  3.905988e-02  8.615180e-02  1.242498e-01  2.061952e-01  6.695550e-01  9.618670e-04  7.547449e-01  2.442932e-01
3.268835e-01  -1.000000e+00  9.549145e-01  1.881938e-02  2.626616e-02  1.865365e-02  2.702356e-01  7.111108e-01  2.643189e-02  7.109451e-01  2.626230e-01
3.297218e-01  -1.000000e+00  8.760876e-01  9.944317e-02  2.446923e-02  9.865962e-02  8.999137e-01  1.426716e-03  2.525279e-02  6.431594e-04  9.741041e-01
3.325848e-01  -1.000000e+00  8.746267e-01  4.062351e-02  8.474980e-02  1.238978e-01  2.114411e-01  6.646610e-01  1.475468e-03  7.479354e-01  2.505892e-01
3.354726e-01  -1.000000e+00  9.585765e-01  1.867824e-02  2.274525e-02  1.665272e-02  3.089601e-01  6.743871e-01  2.477077e-02  6.723616e-01  3.028676e-01
3.383855e-01  -1.000000e+00  8.721029e-01  9.732232e-02  3.057480e-02  1.062533e-01  8.901188e-01  3.627946e-03  2.164385e-02  1.255890e-02  9.657973e-01
3.413237e-01  -1.000000e+00  8.902696e-01  2.803772e-02  8.169270e-02  1.071062e-01  1.143234e-01  7.785704e-01  2.624207e-03  8.576389e-01  1.397369e-01
3.442874e-01  -1.000000e+00  9.578913e-01  3.101648e-02  1.109225e-02  1.595057e-02  4.896700e-01  4.943794e-01  2.615815e-02  4.793135e-01  4.945283e-01
3.472769e-01  -1.000000e+00  8.582714e-01  9.231354e-02  4.941508e-02  1.270650e-01  7.807660e-01  9.216901e-02  1.466362e-02  1.269205e-01  8.584159e-01
3.502923e-01  -1.000000e+00  9.242241e-01  8.621897e-03  6.715398e-02  6.913930e-02  2.497333e-02  9.058874e-01  6.636585e-03  9.664048e-01  2.695864e-02
3.533338e-01  -1.000000e+00  9.366112e-01  5.868550e-02  4.703248e-03  3.699229e-02  7.808010e-01  1.822067e-01  2.639647e-02  1.605135e-01  8.130900e-01
3.564018e-01  -1.000000e+00  8.572495e-01  6.811069e-02  7.463979e-02  1.359570e-01  4.501804e-01  4.138626e-01  6.793451e-03  4.817089e-01  5.114976e-01
3.594965e-01  -1.000000e+00  9.627458e-01  4.547040e-03  3.270721e-02  2.222608e-02  1.964843e-01  7.812896e-01  1.502817e-02  7.989686e-01  1.860032e-01
3.626180e-01  -1.000000e+00  8.866105e-01  8.647324e-02  2.691629e-02  9.315531e-02  9.042302e-01  2.614532e-03  2.023422e-02  9.296600e-03  9.704692e-01
3.657666e-01  -1.000000e+00  9.026792e-01  2.188962e-02  7.543120e-02  9.239827e-02  5.819351e-02  8.494082e-01  4.922554e-03  9.199169e-01  7.516058e-02
3.689425e-01  -1.000000e+00  9.545908e-01  4.147819e-02  3.931017e-03  2.331144e-02  7.137722e-01  2.629164e-01  2.209777e-02  2.447497e-01  7.331526e-01
3.721460e-01  -1.000000e+00  8.586101e-01  6.987184e-02  7.151805e-02  1.320651e-01  4.728619e-01  3.950730e-01  9.324794e-03  4.572662e-01  5.334090e-01
